time,q,r,r_0,omega,omega_0,h22_real,h22_imag,phi
-4499.999999997532,1.2,15.804140968186635,15.804140968186635,0.015916042344973475,0.015916042344973475,0.09409352388261322,8.911407983216433e-06,-4.735399201166049e-05
-4495.499999997515,1.2,15.802266314079041,15.804140968186635,0.015918874768142282,0.015916042344973475,0.09310627949885353,-0.013419925218537692,0.07157483656062953
-4490.999999997499,1.2,15.798295497807171,15.804140968186635,0.015924877066886518,0.015916042344973475,0.09022768035911093,-0.026576142863343973,0.1432225189217901
-4486.4999999974825,1.2,15.794184249105141,15.804140968186635,0.01593109561899659,0.015916042344973475,0.08549836041274715,-0.039190388394396286,0.2148987301631296
-4482.0999999974665,1.2,15.790426423066915,15.804140968186635,0.01593678313538836,0.015916042344973475,0.07915113354974979,-0.05073532313421788,0.2850086669709053
-4477.59999999745,1.2,15.786454559690867,15.804140968186635,0.01594279827941173,0.015916042344973475,0.07105870124928074,-0.06150742426501503,0.35673664753758383
-4473.099999997434,1.2,15.782417589597285,15.804140968186635,0.015948915901776092,0.015916042344973475,0.06152094263452176,-0.07102617350124509,0.4284938514861329
-4468.699999997418,1.2,15.778770837634392,15.804140968186635,0.01595444555180208,0.015916042344973475,0.05096346312154969,-0.07891239149481041,0.498681431326987
-4464.199999997401,1.2,15.774818307489307,15.804140968186635,0.01596044246911378,0.015916042344973475,0.03912988635193779,-0.08536165125183653,0.5704889676581594
-4459.799999997385,1.2,15.77094712405561,15.804140968186635,0.015966319606665495,0.015916042344973475,0.026784040105271897,-0.08997204494525961,0.6407287340061082
-4455.299999997369,1.2,15.767252596983656,15.804140968186635,0.015971931913122142,0.015916042344973475,0.013617230190285774,-0.09285224336920105,0.7125897656461323
-4450.899999997353,1.2,15.763482287172195,15.804140968186635,0.01597766273053909,0.015916042344973475,0.00047283194957656153,-0.09382281790026535,0.7828783715320461
-4446.399999997337,1.2,15.75962445938598,15.804140968186635,0.0159835301220162,0.015916042344973475,-0.01297701667322399,-0.09290212574598372,0.8547915666351499
-4441.999999997321,1.2,15.755997267338067,15.804140968186635,0.01598905001434131,0.015916042344973475,-0.025866734781219314,-0.09013540521492,0.9251312318655622
-4437.499999997304,1.2,15.752252803682342,15.804140968186635,0.015994751705093055,0.015916042344973475,-0.038518888284189014,-0.08547436839198691,0.9970946705340349
-4433.099999997288,1.2,15.748546109528366,15.804140968186635,0.016000399222443867,0.015916042344973475,-0.050129700653519786,-0.0792218626776664,1.0674839531444111
-4428.599999997272,1.2,15.744867536362973,15.804140968186635,0.016006007180936407,0.015916042344973475,-0.060973469400874024,-0.0711969305334754,1.1394987970560433
-4424.199999997256,1.2,15.741273820782059,15.804140968186635,0.016011488938565577,0.015916042344973475,-0.07036048949828977,-0.06192522645154695,1.2099368813674345
-4419.6999999972395,1.2,15.737394137015656,15.804140968186635,0.016017410417461853,0.015916042344973475,-0.0785306812210663,-0.051180686977103526,1.2820016217320327
-4415.2999999972235,1.2,15.733494818216652,15.804140968186635,0.016023365543198637,0.015916042344973475,-0.0849420205164389,-0.039637853338009656,1.3524912360686634
-4410.799999997207,1.2,15.729213150335845,15.804140968186635,0.016029908852394498,0.015916042344973475,-0.08977041061020871,-0.027020728859746133,1.4246101816118435
-4406.399999997191,1.2,15.724726963107273,15.804140968186635,0.016036769489750746,0.015916042344973475,-0.09270519009866483,-0.01413233791293333,1.495156737279165
-4401.899999997175,1.2,15.720024949889334,15.804140968186635,0.016043965439399926,0.015916042344973475,-0.09378071586479109,-0.000648634644629761,1.5673381302146454
-4397.499999997159,1.2,15.715079200044098,15.804140968186635,0.01605154021170721,0.015916042344973475,-0.09295629864707235,0.012559817912622853,1.6379473066349135
-4392.999999997142,1.2,15.709733148175857,15.804140968186635,0.016059734780879242,0.015916042344973475,-0.0902265932210177,0.025828120711783926,1.7101976472137828
-4388.599999997126,1.2,15.70441605019694,15.804140968186635,0.01606789188656782,0.015916042344973475,-0.08571549461057126,0.0382950091488853,1.780878134596001
-4384.09999999711,1.2,15.698826884817864,15.804140968186635,0.01607647382485905,0.015916042344973475,-0.07932255296421986,0.05026467239772246,1.8532027233755137
-4379.699999997094,1.2,15.69380866380347,15.804140968186635,0.016084185611425633,0.015916042344973475,-0.07148163258916686,0.06098494643570158,1.9239578926918395
-4375.299999997078,1.2,15.689637574754911,15.804140968186635,0.016090600255016574,0.015916042344973475,-0.062196508686133765,0.07050038711034494,1.994743556756574
-4370.799999997062,1.2,15.686048978911515,15.804140968186635,0.01609612250542561,0.015916042344973475,-0.05139552196469879,0.07877936760122982,2.0671648315312883
-4366.399999997046,1.2,15.683371102131362,15.804140968186635,0.016100245369303046,0.015916042344973475,-0.03978157376748336,0.085298594942509,2.1379985514462487
-4361.99999999703,1.2,15.68144247929612,15.804140968186635,0.01610321577079213,0.015916042344973475,-0.027353620864532406,0.0901174270789592,2.2088469907816703
-4357.499999997013,1.2,15.680196050691768,15.804140968186635,0.016105135965050865,0.015916042344973475,-0.01406037958116493,0.09318685498897027,2.281317434304244
-4353.099999996997,1.2,15.679843336349364,15.804140968186635,0.016105679410856055,0.015916042344973475,-0.0007567207695407472,0.09430734637345146,2.3521825835968144
-4348.699999996981,1.2,15.680079107410627,15.804140968186635,0.016105316142416726,0.015916042344973475,0.012580663960316466,0.09353072889107002,2.423047413120293
-4344.199999996965,1.2,15.680269566511075,15.804140968186635,0.01610502269915448,0.015916042344973475,0.02597489293486933,0.0907914629021162,2.495519831135612
